car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,1.3010632720874935,103.85411804993093,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.80,Y
ACM,BLK 98A ALJUNIED CRESCENT,1.321004290105958,103.88506094761526,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.10,N
AH1,BLK 101 JALAN DUSUN,1.3282834951094042,103.84461988914597,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
AK19,BLOCK 253 ANG MO KIO STREET 21,1.369091216143557,103.83498485034086,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.00,N
AK31,BLK 302/348 ANG MO KIO ST 31,1.3661204243173264,103.84663563161604,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.00,N
AK52,BLOCK 513 ANG MO KIO ST 53,1.3724386334422438,103.85029569742512,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.00,N
AK6,BLOCK 728 ANG MO KIO AVE 6,1.374835929453353,103.84485384156172,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,1.3766782086821612,103.86384511310713,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.00,N
AK9,ANG MO KIO AVENUE 9,1.3835990576551416,103.84836808665371,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.00,N
AM14,BLK 227 ANG MO KIO ST 23,1.368741094555009,103.84030110265232,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N
AM16,BLK 256A ANG MO KIO STREET 21,1.3703498012136093,103.83571828515707,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N
AM18,BLK 308C ANG MO KIO AVE 1,1.3655400127862602,103.84461939021944,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,3,2.15,N
AM19,BLK 260 ANG MO KIO ST 21,1.3688861979339517,103.83453102382236,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N
AM20,BLK 309B ANG MO KIO ST 31,1.3646977329371157,103.84608858611787,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM22,BLK 316B ANG MO KIO STREET 31,1.3645882914751233,103.84765302635255,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM32,BLK 255A ANG MO KIO ST 21,1.3705325244610682,103.8343768155435,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N
AM43,BLK 455 ANG MO KIO ST 44,1.3686107186719911,103.85730354666772,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
AM46,BLK 588 ANG MO KIO STREET 52,1.3721783233233986,103.85339638441636,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.15,N
AM51,BLK 700 ANG MO KIO AVE 6,1.36991500171885,103.84669851649707,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM64,BLK 590 ANG MO KIO ST 51,1.3714570202946887,103.8530982460575,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM79,BLK 596 ANG MO KIO STREEET 52,1.3723282292064205,103.85132794564865,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM80,BLK 130A ANG MO KIO ST 12,1.3706469901715552,103.84186149048293,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
AM81,BLK 132A ANG MO KIO ST 12,1.3716392420558625,103.84194781252431,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
AM96,BLK 352A ANG MO KIO STREET 32,1.3640741492788182,103.85094037122893,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AR1L,3 AND 5 DOVER ROAD,1.3038767185244542,103.78263177920367,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.50,N
AR1M,BLK 2A DOVER ROAD,1.3028486840208213,103.7836667743235,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N
AR2L,BLK 26 AND 27 DOVER CRESCENT,1.305913234462207,103.7811546551739,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.00,N
AR2M,BLK 28 DOVER CRESCENT,1.3047388928304118,103.78167448932494,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N
AR5M,BLK 19A DOVER CRESCENT,1.3073435265931934,103.78446333008445,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AR7L,12 TO 14 DOVER CLOSE EAST,1.305807720561868,103.78559113657052,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.00,N
AR7M,BLK 12A DOVER CLOSE EAST,1.3047713772680514,103.78519200383909,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
AR9,BLK 20/22/23 DOVER CRESCENT,1.3072843627095632,103.78343964059559,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,1.2855825549923094,103.80321526415918,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.50,N
AV2,BLK 1001/1010 BUKIT MERAH LANE 1/3,1.2849112856214289,103.80583744238801,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.00,N
A1,BLK 215 ANG MO KIO STREET 22,1.3667143987756925,103.84171281191239,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A10,BLK 201/202 ANG MO KIO STREET 22,1.3686329816140763,103.84452401517692,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A100,BLK 650 ANG MO KIO STREET 61,1.3779874731949413,103.8426025448423,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.00,N
A11,BLK 223/226/226A-226D ANG MO KIO ST 22,1.3670355338571103,103.8381810968514,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A12,BLK 229/230 ANG MO KIO ST 22,1.3685098274818934,103.83867531323688,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A13,BLK 232/233 ANG MO KIO ST 22,1.3680002216512868,103.83680961188591,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A15,BLK 226E-226H ANG MO KIO ST 22,1.3669676105068438,103.84041745597003,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A2,BLK 206/207 ANG MO KIO STREET 22,1.3662370557741195,103.84304639719981,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A20,BLK 304/307/319 ANG MO KIO ST 31,1.3649433806415399,103.8484570918218,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A21,BLK 325/326/301 ANG MO KIO STREET 31,1.3681275586189134,103.84631322417121,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A23,BLK 347A ANG MO KIO AVENUE 3,1.367335466453611,103.8489133401171,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.90,N
